X1,X2,X3,X4,X5,X6,X7,ANG,AVG,RIP,COG
25,150,1,2,0.5,15,16,-40.0,-1878.56,44.33,18.09
21,110,1,3,1.0,15,17,-40.0,-1317.68,22.48,15.82
20,100,1,1,0.5,15,18,-40.0,-1203.35,37.97,13.53
18,150,1,2,0.5,10,12,-45.0,-1181.66,29.82,21.16
18,100,2,1,0.5,15,18,-40.0,-1269.88,40.76,13.44
15,100,1,1,0.5,12,13,-44.0,-581.71,50.55,19.42
25,150,2,1,0.5,10,11,-44.0,-1853.67,79.4,19.78
15,150,2,2,0.5,12,13,-47.0,-1166.97,49.83,19.57
15,100,2,3,0.5,15,16,-41.0,-1377.32,67.35,17.73
20,100,2,2,0.5,14,15,-42.0,-1540.68,60.68,18.83
23,130,1,3,1.0,15,17,-40.0,-1475.16,25.38,15.93
25,150,2,1,0.5,13,14,-43.0,-1819.34,67.68,20.68
17,150,3,2,0.5,11,13,-46.0,-1427.69,53.61,20.48
20,130,1,3,0.5,10,11,-46.0,-1356.92,35.57,20.02
21,140,1,3,0.5,15,18,-40.0,-1610.85,27.12,13.96
25,140,1,1,0.5,15,17,-40.0,-1765.64,48.18,15.53
25,150,1,1,0.5,12,13,-44.0,-1778.08,65.4,19.59
17,150,1,2,0.5,14,15,-42.0,-1240.57,47.72,18.91
16,150,3,2,0.5,14,15,-43.0,-1461.39,55.46,18.83
23,130,1,2,0.5,15,16,-40.0,-1721.84,40.73,18.0
20,150,2,2,0.5,10,11,-45.0,-1555.68,57.8,19.8
20,100,1,1,1.0,12,13,-44.0,-985.25,70.36,19.44
24,150,1,1,0.5,14,15,-41.0,-1745.51,50.35,18.9
17,100,2,3,0.5,12,13,-47.0,-1305.22,57.59,19.73
16,120,1,1,0.5,10,11,-47.0,-691.75,37.15,19.82
25,150,2,1,0.5,11,12,-44.0,-1843.24,76.32,20.8
22,150,1,3,1.0,15,16,-40.0,-1434.58,25.17,18.27
25,150,2,1,0.5,12,13,-44.0,-1838.8,72.99,19.62
17,140,1,1,0.5,10,11,-47.0,-841.09,47.36,19.82
15,100,2,2,0.5,12,13,-47.0,-1053.71,54.01,19.56
18,140,1,1,1.0,12,13,-44.0,-960.62,56.55,19.49
15,150,2,1,0.5,10,11,-45.0,-800.95,27.37,19.84
22,140,2,2,0.5,14,15,-42.0,-1780.8,61.94,18.86
16,140,2,1,0.5,10,11,-44.0,-896.35,29.54,19.88
16,120,1,3,0.5,12,13,-47.0,-1104.42,74.8,19.54
20,100,1,3,1.0,15,17,-40.0,-1221.34,24.81,15.66
20,150,1,3,1.0,14,15,-41.0,-1347.14,31.28,19.07
21,140,2,2,0.5,15,18,-40.0,-1689.41,51.49,13.69
20,100,1,3,1.0,15,18,-40.0,-1202.53,33.1,13.75
16,150,2,1,0.5,10,11,-45.0,-931.75,29.6,19.74
19,150,1,3,0.5,15,16,-41.0,-1525.85,42.84,17.92
22,140,2,2,0.5,12,13,-45.0,-1714.09,67.15,19.62
16,120,1,1,0.5,12,13,-45.0,-711.74,28.81,19.59
17,150,2,3,0.5,11,12,-47.0,-1350.59,53.2,21.03
16,130,2,1,0.5,10,11,-44.0,-871.23,28.12,19.77
15,150,2,2,0.5,10,11,-47.0,-1088.26,38.85,19.86
20,150,1,3,0.5,15,16,-41.0,-1583.57,39.59,18.16
21,150,2,2,0.5,12,13,-45.0,-1654.41,64.21,19.6
17,140,2,3,0.5,15,16,-41.0,-1544.47,59.02,17.81
16,130,2,3,0.5,10,11,-47.0,-1264.35,41.51,19.9
21,140,2,2,0.5,12,13,-45.0,-1648.38,63.49,19.59
18,140,1,2,0.5,11,12,-45.0,-1156.8,26.74,20.94
21,100,1,3,1.0,15,17,-40.0,-1285.19,22.6,15.8
16,150,1,1,0.5,11,12,-47.0,-770.86,34.65,20.76
17,100,1,1,0.5,10,11,-47.0,-706.42,46.52,19.7
18,120,2,2,0.5,15,18,-40.0,-1512.72,45.82,13.55
21,140,1,3,0.5,12,14,-44.0,-1516.85,36.42,20.87
20,140,1,3,1.0,15,17,-40.0,-1332.8,23.43,15.72
21,150,1,3,1.0,15,17,-40.0,-1411.42,23.72,15.87
16,140,1,1,0.5,10,11,-47.0,-741.58,38.95,19.73
22,140,1,3,0.5,15,18,-40.0,-1622.84,30.55,13.92
25,140,1,1,0.5,15,18,-40.0,-1729.84,56.16,13.6
25,140,1,2,0.5,14,15,-42.0,-1806.18,49.59,18.97
18,130,1,2,0.5,11,12,-45.0,-1106.75,26.17,20.92
25,140,2,1,0.5,15,18,-40.0,-1745.96,58.91,13.64
20,150,2,2,0.5,14,15,-42.0,-1666.41,59.75,18.85
20,150,2,2,0.5,12,13,-45.0,-1577.75,59.69,19.45
17,150,2,3,0.5,12,13,-47.0,-1371.42,57.43,19.85
18,150,1,2,0.5,10,11,-46.0,-1131.23,31.2,19.83
21,150,1,3,0.5,15,18,-40.0,-1597.5,25.79,13.88
18,130,2,2,0.5,15,18,-40.0,-1521.39,43.81,13.57
25,150,1,2,0.5,15,18,-40.0,-1792.14,50.82,13.83
25,150,1,1,0.5,14,15,-41.0,-1797.6,52.33,18.93
21,140,1,3,0.5,12,13,-45.0,-1511.65,31.84,19.51
25,130,1,2,0.5,15,17,-40.0,-1799.65,42.26,15.7
15,130,2,2,0.5,10,11,-47.0,-1054.47,40.51,19.83
20,130,1,3,0.5,14,15,-43.0,-1507.97,40.36,19.05
17,150,1,1,0.5,10,11,-47.0,-868.5,47.82,19.78
23,100,1,3,1.0,15,17,-40.0,-1386.83,25.56,15.74
16,150,1,1,0.5,10,11,-47.0,-778.57,37.17,19.78
25,150,2,1,0.5,14,15,-41.0,-1830.68,58.29,18.93
22,140,1,3,1.0,14,15,-41.0,-1437.23,33.73,19.05
20,140,1,3,0.5,12,13,-45.0,-1451.18,30.83,19.5
17,150,3,2,0.5,14,15,-43.0,-1493.69,53.64,18.9
22,140,1,2,0.5,15,18,-40.0,-1676.38,38.46,13.82
21,140,1,3,0.5,15,16,-41.0,-1600.99,37.73,18.22
21,140,1,3,1.0,15,17,-40.0,-1406.01,25.08,15.85
25,140,2,1,0.5,12,13,-44.0,-1802.86,75.47,19.59
16,140,3,1,0.5,10,11,-46.0,-1121.5,46.37,19.73
25,150,2,1,0.5,15,17,-40.0,-1798.37,54.43,15.58
15,130,2,1,0.5,10,11,-45.0,-754.8,26.84,19.72
22,140,1,3,0.5,15,16,-40.0,-1643.97,34.81,18.21
16,140,2,3,0.5,10,11,-47.0,-1295.3,41.36,19.96
17,150,3,2,0.5,11,12,-46.0,-1433.61,49.03,20.98
23,130,1,2,0.5,15,17,-40.0,-1701.92,39.25,15.66
22,140,1,3,0.5,15,17,-40.0,-1636.02,30.18,15.82
18,100,2,2,0.5,15,18,-40.0,-1472.29,49.85,13.51
18,150,1,2,0.5,15,18,-40.0,-1416.77,34.11,13.57
20,150,1,2,0.5,15,18,-40.0,-1560.09,29.88,13.77
18,130,2,1,0.5,15,18,-40.0,-1342.58,38.17,13.46
